Source_id,Title,Time,Categories,Author,Content,Other_picture
YaYv8xN,金管會准了！專業投資人可複委託買比特幣 ETF,2024-09-30 05:16:18+00:00,理財,經濟日報,"https://today-obs.line-scdn.net/0hZgIkKXzsBUh0EhXVQJ56H0xECTlHdB9BVnIYK1BAX38LPhAcS3NWK1caWWQJJhYdVHcffFQWWitRcEUaQA/w644金管會30日宣布，開放國人可透過券商複委託投資海外比特幣ETF，但以「專業投資人」為限，並在初次買進前需簽妥風險預告書。所謂專業投資人包括專業機構投資人、高淨值投資法人、高資產客戶、屬於專業投資人的法人或基金、及屬於專業投資人自然人（財力3,000萬元以上）等五大類。美國證管會是在今年1月10日核准多檔直接投資比特幣的ETF在美國上市，成為加密貨幣重大里程碑，引發比特幣飆漲，也引發國人是否可透過券商複委託投資海外ETF的討論。金管會主委彭金隆在5月就任後曾說，金管會已研擬放行的可能性，並會先以專業投資人先行，今天則正式宣布定案放行。金管會提出開放五大配套，一、投資人限制。考量虛擬資產性質複雜且價格波動劇烈，虛擬資產ETF投資風險較高，證券商受託買賣外國虛擬資產ETF委託人以專業投資人為限。二、券商需強化了解客戶程序，證券商應建立適當的虛擬資產ETF商品適合度制度並報經董事會通過，並在委託人初次買進前，評估委託人具備虛擬資產暨相關商品投資專業知識及具備一定投資經驗，以瞭解客戶委託買賣該商品適配性。三、簽具風險預告書：除委託人為專業機構投資人外，委託人應於初次買進前簽具風險預告書，證券商始得接受其委託。四、提供商品資訊：除委託人為專業機構投資人外，證券商應於委託人初次買進前提供虛擬資產ETF相關商品資訊。五、定期教育訓練：證券商應定期對業務人員辦理虛擬資產暨相關商品教育訓練，以利業務人員充分瞭解該商品。享受更高質量的財經內容 點我加入經濟日報好友",[]
nXMrmpL,台積電也找它回收！焚化廠龍頭中台資源掛牌上市，大股東是誰？,2024-09-30 04:16:20+00:00,理財,數位時代,https://today-obs.line-scdn.net/0hHRpLnIQAF31NNQfgXPJoKnVjGwx-Uw10b1tbHj09SkhkGQAqdVpEHj89SlEwUAArbVYKEzs3TR5nV1gjIg/w644打入半導體科技大廠廢棄物處理鏈，並參與晶圓代工大廠進駐的高雄煉油總廠環境工程整治的中台資源科技公司（以下簡稱中台資源），9月25日以每股新台幣80元正式掛牌上市。在營運表現方面，2023年中台資源營收12.7億元，每股稅後純益（EPS）3.08元，營收部分創下歷史新高。今年上半年營收已逼近10億元，比去年同期成長76％。 事業廢棄物處理大廠可寧衛，也看好循環經濟商機與中台資源的北部廢棄物處理量能，持有20.3％股份，是中台資源最大股東。中台資源的客戶有全球晶圓代工龍頭台積電、晶圓代工二哥聯電、面板大廠友達。中台資源董事長鄭光傑表示，「晶圓製造有非常多商業機密，在廢棄物處理上也需要高度謹慎。」中台資源成立於2001年，從回收廢棄燈管起家，到現在可處理的廢棄已經達到262項，是甲級民營焚化廠廢棄物處理之最。工廠擁有焚化、發電、底渣再利用、洗淨、熱裂解等處理技術，可以將含汞廢棄物回收提列出純度高達99.99％以上的汞商品，是全台唯一取得含汞廢棄物處理許可證照者，同時中台資源從廢棄物材料中提煉出貴金屬（金、銀、鈷、錳）達到循環回收零廢棄。除了回收廢棄物，中台資源主要業務包含廢棄物焚化發電綜合處理、處理含汞廢棄物和熱裂解回收貴金屬，以及處理電子廢棄物印刷電路板回收銅，透過技術及綠色能源解決方案，將廢棄物轉化成為資源，減少對環境負面影響。鄭光傑強調，中台資源的主要客戶以電子製造業、化工產業、醫療產業為大宗，將廢棄物統整回收處理，轉化成資源及能源再利用，使動、靜脈產業的資源循環鏈結在一起，推動台灣綠色經濟轉型，達到2050年淨零碳排。鄭光傑認為，廢棄物再生的關鍵之一，是技術與創造力，另一個關鍵是企業思維，「以創新技術和資源循環的理念，才成為一家全方位廢棄物回收公司。」,[]
vX6rnLj,只要千元跟上AI新浪潮,2024-09-30 04:16:22+00:00,理財,台北富邦銀行,https://today-obs.line-scdn.net/0haciWs84TPkxULi7AxE9BGwh4PSNnQi1PMBhveCovJQAlFzBJIys1ei10ZSklRDFyICM6SxdvJgMhdXh7DigtfxQvKRcfGzJKND8reSpOKywlTD9hNBJ5VgE/w644AI的股價水漲船高，且有強勁的財報作為支撐AI的爆發性成長是從ChatGPT開始，ChatGPT在短短2個月內便累積到1億個使用者，所以各大型雲端業者都加速推出大型語言模型，大家瘋搶算力，進而推升高階AI伺服器的需求大幅攀升。而且，我們可以肯定的是，目前雲端運算的需求仍然暢旺，因為近期大語言模型服務推陳出新的速度更快了，包含Gemini 1.5 Pro、GPT-4.5 Turbo、ChatGPT-4o mini、Llama3，都顯示大語言模型的開發已經朝向更快速、更準確、更具擴展性，且朝著多模態模型發展。而GPU就是用來訓練大語言模型最重要的武器，這就是為什麼市場目前對AI加速晶片和GPU的需求依舊維持強勁的主要原因。而且，算力的需求不僅來自大型雲端業者，隨著AI應用市場漸趨成熟，產業對算力的需求也在持續攀升。對AI強勁的需求，也直接體現在第一季度的企業財報上。不僅GPU龍頭和伺服器組裝廠的EPS季增率呈現雙位數的增長，還有美國三大雲巨頭的雲端計算部門的業績，也迎來超預期的增長，並且他們都在財報電話會議上提到，企業用戶對於AI工具的需求擴大，所以企業對於大型雲端平台的依賴性也越來越高。因此，大型雲端平台就需要持續加碼對AI基礎設施的資本支出，大規模的採購晶片和部屬AI伺服器。也因此，晶片巨頭們新一代晶片的更新速度也隨之加快，產品路線圖大幅縮短，產品細節更加明朗。這些不僅形成一個良性的循環，也帶動相關台廠供應鏈大大受惠，包含IC設計業者、晶圓代工廠、伺服器代工廠，都開出非常亮眼的財報，也給出相當強勁的下半年展望。台廠供應鏈是AI時代的關鍵推手今年的Computex跟幾年前大不同，最明顯是來自三位晶片巨頭態度的大翻轉，往年比較多著墨在跟中國和韓國的合作，但今年他們再三強調台灣是最珍貴的合作夥伴集中地，無論從單一GPU到多GPU、從x86架構到Arm架構、從氣冷散熱到液冷散熱技術，台廠供應鏈都站在改寫AI歷史新頁的重要位置。透過數位理財奈米投來參與此創新趨勢，因為奈米投佈局的ETF，其所追蹤的指數已涵蓋許多追隨AI熱潮的科技大廠。透過奈米投投組的ETF不只讓你能分散佈局，也可以享有AI運算需求的長線商機。還在猶豫要不要投？即日至2024/12/31，不論新舊朋友申購奈米投，皆享前 3 個月 0 信管費！讓你輕鬆搭上 AI 投資新趨勢。立即了解奈米投 綁定台北富邦銀行LINE官方帳號，即時收取專屬推薦及好康！*活動詳請請參閱活動網站。本投資並非絕無風險，台北富邦銀行以往之績效不保證委託資產買賣之最低收益，台北富邦銀行除盡善良管理人之注意義務外，不負責委託投資買賣之盈虧，亦不保證最低之收益，客戶簽約前應詳閱信託契約。【本文由台北富邦銀行企劃展出】,[]
9mP77Nr,中颱山陀兒逼近 颱風假5大QA一次看,2024-09-30 04:16:24+00:00,理財,ETtoday新聞雲,https://today-obs.line-scdn.net/0hAaZqLGOfHk5nCA7TdiNhGV9eEj9UbgRHRWhVIUNdSClOJFsQD29NLRAMQGJDPlFIRzoGfRcLEH4fP1gZWA/w644記者廖婕妤／台北報導中颱「山陀兒」持續接近台灣，今日已有部分地區停班停課，中央氣象署也不斷更新最新風雨預測，未來24小時雨量部分，花東、高屏、南投等地區，都達到停班停課標準，是否放颱風假也備受關注，《ETtoday新聞雲》整理5大颱風假勞工相關權益。Q：縣市政府宣布停班停課，但公司要求照常上班，可否不出勤？A：勞動部表示，颱風假並不是「假」的概念，即使縣市政府宣布停班，雇主仍可要求出勤，但勞工也可以拒絕，例如擔心上班途中不安全、可能危及性命，可行使「退避權」不出勤，也建議雇主不要扣薪，尤其一定不能扣發全勤獎金。Q：縣市政府宣布停班停課，公司要求照常出勤，薪資怎麼計算？A：勞動部指出，薪資一定要照常計算，若是「工作日」就正常給薪，並建議可發加班費或額外津貼；若是「休息日」就要依法給予加班費。Q：縣市政府宣布停班停課，等於放無薪假嗎？A：勞動部指出，若公司決定放颱風假，勞工不用出勤，建議雇主宜不扣發工資，也不能視為曠工、遲到或強迫勞工用事假或其他假別處理，更不行強迫勞工補行工作、扣發全勤獎金、解僱或為其他不利處分。Q：縣市政府宣布停班停課，雇主可要求改為居家工作嗎？A：勞動部強調，是否調整為居家工作，應由勞雇雙方在事前就約定好，且必須要徵得勞工同意，有出勤就要照常給薪。Q：居住地停班停課，但公司正常上班，可以不出勤嗎？A：勞動部解釋，若居住地或是上班途中會經過的區域都停班，但公司所在的縣市正常上班，勞工可要求不到班，也建議雇主不要扣薪。例如A住在新竹，但公司在台北，新竹停班但台北要正常上班，A還是可要求放颱風假。點我加ETtoday好友，接收,[]
aGmQ5W8,馬國因貪腐5年經濟損失1.84兆 總理宣示：反腐敗鬥爭尚未結束,2024-09-30 04:16:26+00:00,理財,自由電子報,https://today-obs.line-scdn.net/0hWgib9ju_CEhUGxjVc-d3H2xNBDlnfRJBdn0XeSZOVix_NxwbYXxbK3kYV2RwfE1LdHgQJiQdXigsLhsePw/w644高佳菁／核稿編輯〔財經頻道／綜合報導〕根據官方數據，2018年至2023年，馬來西亞因貪腐而損失了約2770億令吉(約新台幣1.84兆)的經濟產出，總理安華表示，為吸引,[]
YaYv8xN,金管會准了！專業投資人可複委託買比特幣 ETF,2024-09-30 05:16:32+00:00,理財,經濟日報,"https://today-obs.line-scdn.net/0hZgIkKXzsBUh0EhXVQJ56H0xECTlHdB9BVnIYK1BAX38LPhAcS3NWK1caWWQJJhYdVHcffFQWWitRcEUaQA/w644金管會30日宣布，開放國人可透過券商複委託投資海外比特幣ETF，但以「專業投資人」為限，並在初次買進前需簽妥風險預告書。所謂專業投資人包括專業機構投資人、高淨值投資法人、高資產客戶、屬於專業投資人的法人或基金、及屬於專業投資人自然人（財力3,000萬元以上）等五大類。美國證管會是在今年1月10日核准多檔直接投資比特幣的ETF在美國上市，成為加密貨幣重大里程碑，引發比特幣飆漲，也引發國人是否可透過券商複委託投資海外ETF的討論。金管會主委彭金隆在5月就任後曾說，金管會已研擬放行的可能性，並會先以專業投資人先行，今天則正式宣布定案放行。金管會提出開放五大配套，一、投資人限制。考量虛擬資產性質複雜且價格波動劇烈，虛擬資產ETF投資風險較高，證券商受託買賣外國虛擬資產ETF委託人以專業投資人為限。二、券商需強化了解客戶程序，證券商應建立適當的虛擬資產ETF商品適合度制度並報經董事會通過，並在委託人初次買進前，評估委託人具備虛擬資產暨相關商品投資專業知識及具備一定投資經驗，以瞭解客戶委託買賣該商品適配性。三、簽具風險預告書：除委託人為專業機構投資人外，委託人應於初次買進前簽具風險預告書，證券商始得接受其委託。四、提供商品資訊：除委託人為專業機構投資人外，證券商應於委託人初次買進前提供虛擬資產ETF相關商品資訊。五、定期教育訓練：證券商應定期對業務人員辦理虛擬資產暨相關商品教育訓練，以利業務人員充分瞭解該商品。享受更高質量的財經內容 點我加入經濟日報好友",[]
nXMrmpL,台積電也找它回收！焚化廠龍頭中台資源掛牌上市，大股東是誰？,2024-09-30 04:16:34+00:00,理財,數位時代,https://today-obs.line-scdn.net/0hHRpLnIQAF31NNQfgXPJoKnVjGwx-Uw10b1tbHj09SkhkGQAqdVpEHj89SlEwUAArbVYKEzs3TR5nV1gjIg/w644打入半導體科技大廠廢棄物處理鏈，並參與晶圓代工大廠進駐的高雄煉油總廠環境工程整治的中台資源科技公司（以下簡稱中台資源），9月25日以每股新台幣80元正式掛牌上市。在營運表現方面，2023年中台資源營收12.7億元，每股稅後純益（EPS）3.08元，營收部分創下歷史新高。今年上半年營收已逼近10億元，比去年同期成長76％。 事業廢棄物處理大廠可寧衛，也看好循環經濟商機與中台資源的北部廢棄物處理量能，持有20.3％股份，是中台資源最大股東。中台資源的客戶有全球晶圓代工龍頭台積電、晶圓代工二哥聯電、面板大廠友達。中台資源董事長鄭光傑表示，「晶圓製造有非常多商業機密，在廢棄物處理上也需要高度謹慎。」中台資源成立於2001年，從回收廢棄燈管起家，到現在可處理的廢棄已經達到262項，是甲級民營焚化廠廢棄物處理之最。工廠擁有焚化、發電、底渣再利用、洗淨、熱裂解等處理技術，可以將含汞廢棄物回收提列出純度高達99.99％以上的汞商品，是全台唯一取得含汞廢棄物處理許可證照者，同時中台資源從廢棄物材料中提煉出貴金屬（金、銀、鈷、錳）達到循環回收零廢棄。除了回收廢棄物，中台資源主要業務包含廢棄物焚化發電綜合處理、處理含汞廢棄物和熱裂解回收貴金屬，以及處理電子廢棄物印刷電路板回收銅，透過技術及綠色能源解決方案，將廢棄物轉化成為資源，減少對環境負面影響。鄭光傑強調，中台資源的主要客戶以電子製造業、化工產業、醫療產業為大宗，將廢棄物統整回收處理，轉化成資源及能源再利用，使動、靜脈產業的資源循環鏈結在一起，推動台灣綠色經濟轉型，達到2050年淨零碳排。鄭光傑認為，廢棄物再生的關鍵之一，是技術與創造力，另一個關鍵是企業思維，「以創新技術和資源循環的理念，才成為一家全方位廢棄物回收公司。」,[]
vX6rnLj,只要千元跟上AI新浪潮,2024-09-30 04:16:36+00:00,理財,台北富邦銀行,https://today-obs.line-scdn.net/0haciWs84TPkxULi7AxE9BGwh4PSNnQi1PMBhveCovJQAlFzBJIys1ei10ZSklRDFyICM6SxdvJgMhdXh7DigtfxQvKRcfGzJKND8reSpOKywlTD9hNBJ5VgE/w644AI的股價水漲船高，且有強勁的財報作為支撐AI的爆發性成長是從ChatGPT開始，ChatGPT在短短2個月內便累積到1億個使用者，所以各大型雲端業者都加速推出大型語言模型，大家瘋搶算力，進而推升高階AI伺服器的需求大幅攀升。而且，我們可以肯定的是，目前雲端運算的需求仍然暢旺，因為近期大語言模型服務推陳出新的速度更快了，包含Gemini 1.5 Pro、GPT-4.5 Turbo、ChatGPT-4o mini、Llama3，都顯示大語言模型的開發已經朝向更快速、更準確、更具擴展性，且朝著多模態模型發展。而GPU就是用來訓練大語言模型最重要的武器，這就是為什麼市場目前對AI加速晶片和GPU的需求依舊維持強勁的主要原因。而且，算力的需求不僅來自大型雲端業者，隨著AI應用市場漸趨成熟，產業對算力的需求也在持續攀升。對AI強勁的需求，也直接體現在第一季度的企業財報上。不僅GPU龍頭和伺服器組裝廠的EPS季增率呈現雙位數的增長，還有美國三大雲巨頭的雲端計算部門的業績，也迎來超預期的增長，並且他們都在財報電話會議上提到，企業用戶對於AI工具的需求擴大，所以企業對於大型雲端平台的依賴性也越來越高。因此，大型雲端平台就需要持續加碼對AI基礎設施的資本支出，大規模的採購晶片和部屬AI伺服器。也因此，晶片巨頭們新一代晶片的更新速度也隨之加快，產品路線圖大幅縮短，產品細節更加明朗。這些不僅形成一個良性的循環，也帶動相關台廠供應鏈大大受惠，包含IC設計業者、晶圓代工廠、伺服器代工廠，都開出非常亮眼的財報，也給出相當強勁的下半年展望。台廠供應鏈是AI時代的關鍵推手今年的Computex跟幾年前大不同，最明顯是來自三位晶片巨頭態度的大翻轉，往年比較多著墨在跟中國和韓國的合作，但今年他們再三強調台灣是最珍貴的合作夥伴集中地，無論從單一GPU到多GPU、從x86架構到Arm架構、從氣冷散熱到液冷散熱技術，台廠供應鏈都站在改寫AI歷史新頁的重要位置。透過數位理財奈米投來參與此創新趨勢，因為奈米投佈局的ETF，其所追蹤的指數已涵蓋許多追隨AI熱潮的科技大廠。透過奈米投投組的ETF不只讓你能分散佈局，也可以享有AI運算需求的長線商機。還在猶豫要不要投？即日至2024/12/31，不論新舊朋友申購奈米投，皆享前 3 個月 0 信管費！讓你輕鬆搭上 AI 投資新趨勢。立即了解奈米投 綁定台北富邦銀行LINE官方帳號，即時收取專屬推薦及好康！*活動詳請請參閱活動網站。本投資並非絕無風險，台北富邦銀行以往之績效不保證委託資產買賣之最低收益，台北富邦銀行除盡善良管理人之注意義務外，不負責委託投資買賣之盈虧，亦不保證最低之收益，客戶簽約前應詳閱信託契約。【本文由台北富邦銀行企劃展出】,[]
9mP77Nr,中颱山陀兒逼近 颱風假5大QA一次看,2024-09-30 04:16:38+00:00,理財,ETtoday新聞雲,https://today-obs.line-scdn.net/0hAaZqLGOfHk5nCA7TdiNhGV9eEj9UbgRHRWhVIUNdSClOJFsQD29NLRAMQGJDPlFIRzoGfRcLEH4fP1gZWA/w644記者廖婕妤／台北報導中颱「山陀兒」持續接近台灣，今日已有部分地區停班停課，中央氣象署也不斷更新最新風雨預測，未來24小時雨量部分，花東、高屏、南投等地區，都達到停班停課標準，是否放颱風假也備受關注，《ETtoday新聞雲》整理5大颱風假勞工相關權益。Q：縣市政府宣布停班停課，但公司要求照常上班，可否不出勤？A：勞動部表示，颱風假並不是「假」的概念，即使縣市政府宣布停班，雇主仍可要求出勤，但勞工也可以拒絕，例如擔心上班途中不安全、可能危及性命，可行使「退避權」不出勤，也建議雇主不要扣薪，尤其一定不能扣發全勤獎金。Q：縣市政府宣布停班停課，公司要求照常出勤，薪資怎麼計算？A：勞動部指出，薪資一定要照常計算，若是「工作日」就正常給薪，並建議可發加班費或額外津貼；若是「休息日」就要依法給予加班費。Q：縣市政府宣布停班停課，等於放無薪假嗎？A：勞動部指出，若公司決定放颱風假，勞工不用出勤，建議雇主宜不扣發工資，也不能視為曠工、遲到或強迫勞工用事假或其他假別處理，更不行強迫勞工補行工作、扣發全勤獎金、解僱或為其他不利處分。Q：縣市政府宣布停班停課，雇主可要求改為居家工作嗎？A：勞動部強調，是否調整為居家工作，應由勞雇雙方在事前就約定好，且必須要徵得勞工同意，有出勤就要照常給薪。Q：居住地停班停課，但公司正常上班，可以不出勤嗎？A：勞動部解釋，若居住地或是上班途中會經過的區域都停班，但公司所在的縣市正常上班，勞工可要求不到班，也建議雇主不要扣薪。例如A住在新竹，但公司在台北，新竹停班但台北要正常上班，A還是可要求放颱風假。點我加ETtoday好友，接收,[]
aGmQ5W8,馬國因貪腐5年經濟損失1.84兆 總理宣示：反腐敗鬥爭尚未結束,2024-09-30 04:16:40+00:00,理財,自由電子報,https://today-obs.line-scdn.net/0hWgib9ju_CEhUGxjVc-d3H2xNBDlnfRJBdn0XeSZOVix_NxwbYXxbK3kYV2RwfE1LdHgQJiQdXigsLhsePw/w644高佳菁／核稿編輯〔財經頻道／綜合報導〕根據官方數據，2018年至2023年，馬來西亞因貪腐而損失了約2770億令吉(約新台幣1.84兆)的經濟產出，總理安華表示，為吸引,[]
